time	voltage	temperature
10:02:46	127.69	21.67
10:02:51	127.69	21.67
10:02:56	127.68	21.67
10:03:01	127.69	21.67
10:03:06	127.7	21.67
10:03:11	127.7	21.67
10:03:16	127.71	21.67
10:03:21	127.73	21.67
10:03:26	127.68	21.67
10:03:31	127.68	21.67
10:03:36	127.69	21.67
10:03:41	127.69	21.67
10:03:46	127.67	21.67
10:03:51	127.67	21.67
10:03:56	127.69	21.67
10:04:01	127.68	21.67
10:04:06	127.72	21.67
10:04:11	127.67	21.67
10:04:16	127.7	21.67
10:04:21	127.68	21.67
10:04:26	127.68	21.67
10:04:31	127.71	21.67
10:04:36	127.68	21.67
10:04:41	127.66	21.67
10:04:46	127.72	21.67
10:04:51	127.71	21.67
10:04:56	127.69	21.67
10:05:01	127.65	21.67
10:05:06	127.64	21.67
10:05:11	127.71	21.67
10:05:16	127.68	21.67
10:05:21	127.65	21.67
10:05:26	127.66	21.67
10:05:31	127.66	21.67
10:05:36	127.66	21.67
10:05:41	127.65	21.67
10:05:46	127.66	21.67
10:05:51	127.67	21.67
10:05:56	127.65	21.67
10:06:01	127.68	21.67
10:06:06	127.64	21.67
10:06:11	127.64	21.67
10:06:16	127.65	21.67
10:06:21	127.65	21.67
10:06:26	127.65	21.67
10:06:31	127.68	21.67
10:06:36	127.65	21.67
10:06:41	127.66	21.67
10:06:46	127.66	21.67
10:06:51	127.64	21.67
10:06:56	127.6	21.67
10:07:01	127.65	21.67
10:07:06	127.65	21.67
10:07:11	127.66	21.67
10:07:16	127.63	21.67
10:07:21	127.63	21.67
10:07:26	127.62	21.67
10:07:31	127.63	21.67
10:07:36	127.66	21.67
10:07:41	127.65	21.67
10:07:46	127.61	21.67
10:07:51	127.65	21.67
10:07:56	127.61	21.67
10:08:01	127.61	21.67
10:08:06	127.59	21.67
10:08:11	127.65	21.67
10:08:16	127.66	21.67
10:08:21	127.62	21.67
10:08:26	127.65	21.67
10:08:31	127.64	21.67
10:08:36	127.64	21.67
10:08:41	127.6	21.67
10:08:46	127.58	21.67
10:08:51	127.59	21.67
10:08:56	127.58	21.67
10:09:01	127.63	21.67
10:09:06	127.61	21.67
10:09:11	127.6	21.67
10:09:16	127.6	21.67
10:09:21	127.58	21.67
10:09:26	127.6	21.67
10:09:31	127.61	21.67
10:09:36	127.58	21.67
10:09:41	127.57	21.67
10:09:46	127.59	21.67
10:09:51	127.58	21.67
10:09:56	127.57	21.67
10:10:01	127.58	21.67
10:10:06	127.61	21.67
10:10:11	127.58	21.67
10:10:16	127.61	21.67
10:10:21	127.57	21.67
10:10:26	127.57	21.67
10:10:31	127.58	21.67
10:10:36	127.57	21.67
10:10:41	127.6	21.67
10:10:46	127.61	21.67
10:10:51	127.6	21.67
10:10:56	127.58	21.67
10:11:01	127.6	21.67
10:11:06	127.58	21.67
10:11:11	127.56	21.67
10:11:16	127.58	21.67
10:11:21	127.58	21.67
10:11:26	127.57	21.67
10:11:31	127.61	21.67
10:11:36	127.61	21.67
10:11:41	127.6	21.67
10:11:46	127.62	21.67
10:11:51	127.6	21.67
10:11:56	127.61	21.67
10:12:01	127.59	21.67
10:12:06	127.6	21.67
10:12:11	127.6	21.67
10:12:16	127.6	21.67
10:12:21	127.58	21.67
10:12:26	127.58	21.67
10:12:31	127.6	21.67
10:12:36	127.59	21.67
