time	voltage	temperature
13:43:50	128.41	22.45
13:43:55	128.41	22.45
13:44:00	128.4	22.45
13:44:05	128.39	22.45
13:44:10	128.45	22.45
13:44:15	128.42	22.45
13:44:20	128.41	22.45
13:44:25	128.42	22.45
13:44:30	128.4	22.45
13:44:35	128.39	22.45
13:44:40	128.4	22.45
13:44:45	128.4	22.45
13:44:50	128.4	22.45
13:44:55	128.42	22.45
13:45:00	128.39	22.45
13:45:05	128.42	22.45
13:45:10	128.38	22.45
13:45:15	128.4	22.45
13:45:20	128.4	22.45
13:45:25	128.45	22.45
13:45:30	128.38	22.45
13:45:35	128.43	22.45
13:45:40	128.4	22.45
13:45:45	128.4	22.45
13:45:50	128.38	22.45
13:45:55	128.4	22.45
13:46:00	128.38	22.45
13:46:05	128.4	22.45
13:46:10	128.42	22.45
13:46:15	128.41	22.45
13:46:20	128.39	22.45
13:46:25	128.42	22.45
13:46:30	128.4	22.45
13:46:35	128.4	22.45
13:46:40	128.36	22.45
13:46:45	128.33	22.45
13:46:50	128.36	22.45
13:46:55	128.35	22.45
13:47:00	128.37	22.45
13:47:05	128.37	22.45
13:47:10	128.37	22.45
13:47:15	128.38	22.45
13:47:20	128.39	22.45
13:47:25	128.4	22.45
13:47:30	128.35	22.45
13:47:35	128.38	22.45
13:47:40	128.37	22.45
13:47:45	128.31	22.45
13:47:50	128.35	22.45
13:47:55	128.38	22.45
13:48:00	128.35	22.45
13:48:05	128.37	22.45
13:48:10	128.38	22.45
13:48:15	128.39	22.45
13:48:20	128.35	22.45
13:48:25	128.38	22.45
13:48:30	128.38	22.45
13:48:35	128.39	22.45
13:48:40	128.4	22.45
13:48:45	128.38	22.45
13:48:50	128.37	22.45
13:48:55	128.37	22.45
13:49:00	128.38	22.45
13:49:05	128.39	22.45
13:49:10	128.39	22.45
13:49:15	128.39	22.45
13:49:20	128.34	22.45
13:49:25	128.38	22.45
13:49:30	128.43	22.45
13:49:35	128.36	22.45
13:49:40	128.37	22.45
13:49:45	128.37	22.45
13:49:50	128.37	22.45
13:49:55	128.39	22.45
13:50:00	128.37	22.45
13:50:05	128.36	22.45
13:50:10	128.36	22.45
13:50:15	128.36	22.45
13:50:20	128.38	22.45
13:50:25	128.38	22.45
